field,ID,RA,DEC,z_peak,z_a,z_ml,Prob_gt_6,bin_z,F090W_flux,F090W_err,F115W_flux,F115W_err,F150W_flux,F150W_err,F200W_flux,F200W_err,F277W_flux,F277W_err,F356W_flux,F356W_err,F444W_flux,F444W_err,A_arcsec,B_arcsec,R_KRON_U,FWHM_arcsec,GINI,clean_phot_bands,size_usable,F444W_SNR,F356W_SNR
GOODS-S,131177,53.06254,-27.773369,6.320000171661377,6.320000171661377,6.317317008972168,0.979542076587677,6-8,33.3365,5.2759,56.6462,3.8446,54.8732,3.1591,56.9551,3.4507,77.6653,1.9645,105.8375,2.0582,81.4194,3.0031,0.1017,0.0822,1.4000,0.2177,0.7127,7,1,27.11,51.42
GOODS-S,131181,53.17929,-27.773312,6.099999904632568,6.099999904632568,6.104243755340576,1.0,6-8,24.1123,1.2171,35.7682,0.9937,31.5508,1.0339,28.4355,1.0582,30.2677,0.6875,52.6348,0.7479,39.5105,0.9595,0.0668,0.0662,1.4378,0.1566,0.7746,7,1,41.18,70.38
GOODS-S,131234,53.1785,-27.773312,6.740000247955322,6.740000247955322,6.737992286682129,0.9999620318412781,6-8,1.9152,1.3251,2.1015,1.0366,3.3477,1.1538,2.7588,1.1346,1.9227,0.7380,4.0466,0.8440,3.6912,1.0698,0.0701,0.0617,1.4000,0.1555,0.4633,7,1,3.45,4.79
GOODS-S,131253,53.18158,-27.773273,8.020000457763672,8.020000457763672,8.024642944335938,0.9999989867210388,8-10,-0.9437,1.2188,4.0364,1.1427,3.6492,1.1437,3.8604,1.1480,2.8996,0.7640,1.3191,0.6839,4.2127,0.8518,0.0617,0.0599,1.4000,0.1432,0.5668,7,1,4.95,1.93
GOODS-S,131261,53.197872,-27.77325,7.429999828338623,7.429999828338623,7.426066875457764,1.0,6-8,-0.9190,1.2454,5.1635,0.9721,4.5959,1.0888,3.7788,1.2462,4.1000,0.9035,5.3238,0.8350,9.6906,1.1146,0.0705,0.0698,1.4000,0.1652,0.6260,7,1,8.69,6.38
GOODS-S,131583,53.075043,-27.772879,6.329999923706055,6.329999923706055,6.33308744430542,0.9371578097343445,6-8,25.2886,13.6252,50.6221,15.3207,20.5022,12.9139,nan,nan,60.8893,3.7876,80.4296,3.0283,82.7146,6.4400,0.1296,0.0781,1.4000,0.2520,0.6618,6,1,12.84,26.56
GOODS-S,131635,53.14091,-27.772797,9.0,9.0,9.0012788772583,1.0000001192092896,8-10,0.4043,1.1329,3.5581,1.0489,9.9899,1.1346,8.7815,1.1047,8.6241,0.8220,9.9615,0.7151,18.1602,1.0179,0.0657,0.0640,1.4000,0.1527,0.6724,7,1,17.84,13.93
GOODS-S,131688,53.13492,-27.77271,6.450000286102295,6.450000286102295,6.448721885681152,1.0,6-8,47.7750,1.9442,63.2916,1.8338,57.3765,2.0342,49.9849,1.9064,47.1852,1.1095,83.3253,1.0781,49.8739,1.3662,0.0815,0.0756,1.4000,0.1850,0.7550,7,1,36.51,77.29
GOODS-S,131752,53.165543,-27.77267,7.25,7.25,7.251749515533447,0.9999999403953552,6-8,1.0330,1.7078,12.6734,1.4142,13.3538,1.4579,10.7341,1.2594,10.5551,0.9126,10.8401,1.0277,22.3139,1.3382,0.0691,0.0679,1.4000,0.1613,0.6530,7,1,16.67,10.55
GOODS-S,131971,53.1666,-27.772404,6.440000057220459,6.440000057220459,6.434662342071533,1.0,6-8,10.1402,2.3762,24.8668,2.0468,19.2306,2.0626,20.8136,1.7628,21.4766,1.3553,28.8161,1.4528,21.9754,1.6840,0.0916,0.0752,1.4000,0.1973,0.6379,7,1,13.05,19.84
GOODS-S,131979,53.180668,-27.772392,7.409999847412109,7.409999847412109,7.408938884735107,1.0000001192092896,6-8,-0.6767,1.2749,9.5094,1.2488,9.8033,1.2870,7.0306,1.3227,7.0402,0.8722,7.4588,0.7643,11.6822,0.9452,0.0714,0.0679,1.4000,0.1641,0.6575,7,1,12.36,9.76
GOODS-S,132142,53.160225,-27.772253,6.110000133514404,6.110000133514404,6.109004497528076,0.9997655153274536,6-8,8.3028,2.1393,5.1878,1.8922,6.0011,1.9175,7.6308,1.7562,7.7612,1.0841,11.4302,1.2524,6.8255,1.5922,0.0802,0.0766,1.4000,0.1847,0.5519,7,1,4.29,9.13
GOODS-S,132229,53.20399,-27.7721,7.570000171661377,7.570000171661377,7.565113067626953,0.9999998807907104,6-8,0.0466,1.6583,9.8836,1.2217,11.0839,1.3634,12.7748,1.3557,14.7468,0.9244,59.2895,0.8826,135.3405,1.1786,0.0747,0.0716,1.4000,0.1723,0.8011,7,1,114.84,67.18
GOODS-S,132302,53.19904,-27.772078,8.449999809265137,8.449999809265137,8.446527481079102,0.9999996423721313,8-10,0.7135,1.6849,2.3562,1.2344,3.1950,1.3469,5.8352,1.5029,3.1439,1.1246,4.7163,1.0318,8.6629,1.3327,0.0858,0.0671,1.4000,0.1814,0.5809,7,1,6.50,4.57
GOODS-S,132573,53.180573,-27.771791,7.480000019073486,7.480000019073486,7.481237888336182,0.9999998807907104,6-8,3.1946,1.6096,11.3947,1.8592,11.5207,1.6887,9.6004,1.8667,10.8538,1.1393,13.3569,0.9594,15.8045,1.1099,0.0881,0.0771,1.4000,0.1948,0.6851,7,1,14.24,13.92
GOODS-S,132637,53.178837,-27.771807,6.579999923706055,6.579999923706055,6.578035354614258,1.0000001192092896,6-8,2.2684,1.1758,3.8991,1.1196,2.5328,0.9702,4.1425,0.9662,2.1513,0.7089,7.4680,0.7467,3.8641,0.8969,0.0668,0.0641,1.4000,0.1542,0.5583,7,1,4.31,10.00
GOODS-S,132652,53.126953,-27.771797,6.639999866485596,6.639999866485596,6.639092445373535,0.9999951720237732,6-8,2.6245,2.7200,5.1964,2.4688,4.4104,2.2370,7.4351,1.8957,10.4287,1.3023,16.0144,1.3720,9.9981,1.8240,0.0797,0.0734,1.4000,0.1805,0.5736,7,1,5.48,11.67
GOODS-S,132659,53.163815,-27.771742,7.190000057220459,7.190000057220459,7.185247898101807,1.0,6-8,-0.2132,2.8228,12.3119,2.7496,7.9913,2.6770,6.1393,2.4169,9.4706,1.7828,12.3360,1.7803,10.7703,2.2580,0.1031,0.0759,1.4000,0.2132,0.5251,7,1,4.77,6.93
GOODS-S,132677,53.15765,-27.771765,6.099999904632568,6.099999904632568,6.097531795501709,0.9979310035705566,6-8,0.1059,2.0188,7.1710,1.7871,4.8958,1.8181,7.7444,1.4189,14.4582,1.0493,19.9565,1.1849,14.1635,1.4270,0.0714,0.0688,1.4000,0.1651,0.7021,7,1,9.93,16.84
GOODS-S,132769,53.17558,-27.771683,10.15999984741211,10.15999984741211,10.153643608093262,1.0,10-15,0.3172,1.5453,0.2708,1.3632,4.1934,1.4375,6.2659,1.3755,3.7861,0.9628,4.8657,0.9554,3.9570,1.1644,0.0789,0.0659,1.4000,0.1712,0.5425,7,1,3.40,5.09
