field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-N,1035827,189.16608,62.316425,6.659999847412109,6.659999847412109,6.658389091491699,-9999.0,0.9999998807907104,5.293550930218771e-05,5.310599249241932e-08,4.0787078575688085e-11,18.8643798828125,14,6,0,0,0,0
GOODS-N,1035828,189.16626,62.316513,6.619999885559082,6.619999885559082,6.621988296508789,-9999.0,1.0,6.412110425957351e-13,1.1007116387208788e-16,3.186026419079875e-17,17.73447608947754,14,6,0,0,0,0
GOODS-N,1036068,189.2385,62.133408,8.869999885559082,8.869999885559082,8.865716934204102,-9999.0,0.9996476769447327,0.999647319316864,0.9993565082550049,0.20606203377246857,5.417962551116943,14,6,0,0,0,0
GOODS-N,1036123,189.25217,62.134193,12.6899995803833,12.6899995803833,12.693639755249023,-9999.0,0.9840865731239319,0.9840655326843262,0.9840407371520996,0.983889639377594,4.387657642364502,14,6,0,0,0,0
GOODS-N,1036487,189.23009,62.138317,7.180000305175781,7.180000305175781,7.182235240936279,-9999.0,0.9997285008430481,0.998793363571167,2.421645869943312e-11,1.77776786347561e-11,7.30890417098999,14,6,0,0,0,0
GOODS-N,1036685,189.25159,62.140106,7.03000020980835,7.03000020980835,7.0291900634765625,-9999.0,1.0,0.8272172808647156,1.4709244877959935e-15,2.409913612591661e-25,145.62286376953125,14,6,0,0,0,0
GOODS-N,1036733,189.25975,62.140354,6.610000133514404,6.610000133514404,6.606297492980957,-9999.0,0.9466901421546936,0.3890494108200073,0.12406456470489502,0.0013530543074011803,4.291618824005127,14,6,0,0,0,0
GOODS-N,1036779,189.28075,62.140663,7.010000228881836,7.010000228881836,7.008124351501465,-9999.0,0.9970518350601196,0.5930051207542419,5.628844883176498e-05,1.0151384230994154e-06,6.8948893547058105,12,6,0,0,0,0
GOODS-N,1037138,189.2586,62.14319,7.200000286102295,7.200000286102295,7.200258255004883,-9999.0,0.9999997019767761,0.9997732639312744,0.0003115023428108543,0.0002759890630841255,14.963945388793945,14,6,0,0,0,0
GOODS-N,1037197,189.24316,62.143543,8.020000457763672,8.020000457763672,8.024702072143555,-9999.0,0.958532989025116,0.8984431624412537,0.6718519926071167,0.008875112049281597,9.636138916015625,14,6,0,0,0,0
GOODS-N,1037198,189.29655,62.143524,7.119999885559082,7.119999885559082,7.115021228790283,-9999.0,0.9459301829338074,0.88032066822052,0.0044236015528440475,0.00017911003669723868,3.0128612518310547,12,6,0,0,0,0
GOODS-N,1037620,189.28741,62.14584,8.359999656677246,8.359999656677246,8.358973503112793,-9999.0,1.0,0.9974579215049744,0.9904992580413818,2.037865215243073e-06,62.38718032836914,12,6,0,0,0,0
GOODS-N,1037706,189.3079,62.146233,6.809999942779541,6.809999942779541,6.814626216888428,-9999.0,0.999373733997345,0.001664904411882162,2.4562653994086858e-11,1.5116614557331154e-12,5.266781330108643,13,6,0,0,0,0
GOODS-N,1037836,189.25783,62.146908,7.380000114440918,7.380000114440918,7.376464366912842,-9999.0,0.9999999403953552,0.9999933242797852,2.608411819871037e-10,1.81507461838315e-10,5.671087265014648,14,6,0,0,0,0
GOODS-N,1037856,189.24922,62.146954,6.630000114440918,6.630000114440918,6.625641822814941,-9999.0,0.9958698153495789,9.516930731479079e-05,8.110464113997295e-05,7.367567013716325e-05,9.702216148376465,14,6,0,0,0,0
GOODS-N,1037869,189.31653,62.14699,7.519999980926514,7.519999980926514,7.5222296714782715,-9999.0,0.991425633430481,0.9747994542121887,0.06521575897932053,0.001704245456494391,8.677083969116211,13,6,0,0,0,0
GOODS-N,1037912,189.32425,62.147175,6.909999847412109,6.909999847412109,6.9075775146484375,-9999.0,0.9994415640830994,0.21562319993972778,5.5894874094519764e-05,4.045849436806748e-06,8.252450942993164,10,2,0,0,0,0
GOODS-N,1037974,189.23456,62.147495,7.5,7.5,7.502830982208252,-9999.0,0.9999999403953552,0.9507678747177124,0.010080356150865555,1.518776025477564e-05,19.599885940551758,14,6,0,0,0,0
GOODS-N,1038057,189.3148,62.147846,6.980000019073486,6.980000019073486,6.975367069244385,-9999.0,0.9999853372573853,0.4360349178314209,0.0014639984583482146,3.0546368634531973e-07,6.267895698547363,13,6,0,0,0,0
