field,ID,z_peak,Prob_gt_6,bin_z,F444W_flux,F200W_flux,F356W_flux,F150W_flux,red_1,red_2,A_arcsec,FWHM_arcsec,rank_in_bin,color_index,bin_size,hunt_type
GOODS-S,219000,6.920000076293945,1.0000001192092896,6-8,330.4831,44.0883,247.0420,40.2955,0.8748,0.7875,0.0798,0.1808,17,red_2,3405,redness
GOODS-S,464001,6.980000019073486,1.0,6-8,47.0133,13.1935,51.0751,8.5746,0.5519,0.7750,0.0685,0.1594,18,red_2,3405,redness
GOODS-S,416914,7.309999942779541,0.9638559818267822,6-8,1838.3782,356.5502,1250.5007,211.8596,0.7123,0.7710,0.4720,0.8952,19,red_2,3405,redness
GOODS-S,484367,7.78000020980835,0.9994145631790161,6-8,21.5684,1.5363,9.3794,1.7050,,0.7405,0.0670,0.1554,20,red_2,3405,redness
GOODS-N,1223326,6.389999866485596,0.9310110807418823,6-8,288.3702,39.0515,154.4721,28.7645,0.8683,0.7300,0.0724,0.1696,21,red_2,3405,redness
GOODS-S,132229,7.570000171661377,0.9999998807907104,6-8,135.3405,12.7748,59.2895,11.0839,1.0251,0.7283,0.0747,0.1723,22,red_2,3405,redness
GOODS-N,1204613,6.820000171661377,0.9989383816719055,6-8,195.6860,14.1180,87.3328,16.6695,1.1418,0.7193,0.0719,0.1677,23,red_2,3405,redness
GOODS-S,448558,7.710000038146973,1.0,6-8,204.7662,20.9084,106.7914,20.6329,0.9909,0.7140,0.0755,0.1727,24,red_2,3405,redness
GOODS-S,455446,6.340000152587891,0.9936670064926147,6-8,354.4353,40.5574,176.5595,34.5711,0.9415,0.7082,0.0772,0.1791,25,red_2,3405,redness
GOODS-S,449647,7.929999828338623,0.9999999403953552,6-8,277.3230,20.9028,95.9063,18.9415,1.1228,0.7044,0.0791,0.1849,26,red_2,3405,redness
GOODS-S,168364,6.510000228881836,0.9321115016937256,6-8,38.3330,5.2571,22.9301,4.5455,0.8628,0.7028,0.0698,0.1617,27,red_2,3405,redness
GOODS-S,354536,6.659999847412109,0.999997615814209,6-8,261.7405,196.3498,325.4827,64.6303,0.1248,0.7021,0.1167,0.2426,28,red_2,3405,redness
GOODS-S,454705,6.619999885559082,0.9737524390220642,6-8,21.6616,24.8546,28.4017,5.7134,-0.0597,0.6964,0.0736,0.1687,29,red_2,3405,redness
GOODS-S,331128,6.389999866485596,0.9993675351142883,6-8,186.3669,17.3573,78.6608,16.0537,1.0309,0.6902,0.0726,0.1671,30,red_2,3405,redness
GOODS-S,453238,6.5,0.9999999403953552,6-8,747.1222,97.1540,368.1337,75.3085,0.8859,0.6892,0.0772,0.1813,31,red_2,3405,redness
GOODS-N,1010816,6.849999904632568,1.0000001192092896,6-8,307.2733,70.6725,268.2552,56.5172,0.6383,0.6764,0.0949,0.2093,32,red_2,3405,redness
GOODS-S,143133,6.300000190734863,0.889509916305542,6-8,33.7387,4.1962,18.2539,3.8559,0.9053,0.6752,0.0678,0.1554,33,red_2,3405,redness
GOODS-N,1218719,6.309999942779541,0.9439671039581299,6-8,204.4232,50.4619,183.5340,39.2714,0.6076,0.6696,0.1256,0.2669,34,red_2,3405,redness
GOODS-N,1210090,8.199999809265137,0.9999982118606567,8-10,2131.5553,130.0338,1138.8267,nan,1.2146,,0.1547,0.3413,1,red_1,938,redness
GOODS-S,462916,8.199999809265137,0.891117513179779,8-10,219.5008,14.3347,104.6199,5.6982,1.1850,,0.0739,0.1713,2,red_1,938,redness
GOODS-S,416916,8.140000343322754,0.9999456405639648,8-10,2741.4434,236.3562,1562.5065,73.4965,1.0644,1.3276,0.1770,0.3803,3,red_1,938,redness
GOODS-N,1091505,9.350000381469727,1.0,8-10,259.9492,22.7947,112.0503,19.6860,1.0571,0.7553,0.0700,0.1639,4,red_1,938,redness
GOODS-S,171973,8.470000267028809,0.9800812602043152,8-10,2490.7830,236.0406,1168.2282,128.3241,1.0233,0.9592,0.1499,0.3186,5,red_1,938,redness
GOODS-N,1158280,8.15999984741211,0.9999998807907104,8-10,57.1955,5.4744,20.7433,0.6789,1.0190,,0.0758,0.1723,6,red_1,938,redness
GOODS-N,1087167,8.149999618530273,1.0,8-10,840.4077,92.9845,422.6036,85.2795,0.9561,0.6951,0.0827,0.1935,7,red_1,938,redness
GOODS-S,435106,8.390000343322754,1.0,8-10,188.7454,21.0145,80.8025,15.8254,0.9534,0.7081,0.0708,0.1657,8,red_1,938,redness
GOODS-S,417844,8.460000038146973,0.9999998807907104,8-10,2277.4353,265.4889,1131.3408,93.8724,0.9334,1.0811,0.2258,0.4765,9,red_1,938,redness
GOODS-S,284527,8.970000267028809,1.0,8-10,2239.5680,266.6564,1035.1242,117.1668,0.9242,0.9462,0.1570,0.3481,10,red_1,938,redness
GOODS-S,467269,8.15999984741211,0.9994832277297974,8-10,82.7825,10.0730,40.3261,9.3285,0.9148,0.6358,0.0887,0.1935,11,red_1,938,redness
GOODS-N,1207106,8.270000457763672,0.9868273735046387,8-10,3716.2711,562.9808,2235.4246,317.9797,0.8196,0.8470,0.1402,0.3074,12,red_1,938,redness
GOODS-S,219426,8.300000190734863,0.8093301653862,8-10,6136.7470,962.1808,3586.5458,355.7372,0.8047,1.0035,0.2663,0.6085,13,red_1,938,redness
GOODS-S,458421,8.3100004196167,0.9661431312561035,8-10,177.1390,27.8761,92.8602,25.8347,0.8031,0.5556,0.0781,0.1790,14,red_1,938,redness
GOODS-N,1010393,9.0,1.0,8-10,39.6876,6.6286,10.9208,5.1542,0.7772,,0.0716,0.1667,15,red_1,938,redness
GOODS-N,1203011,8.239999771118164,1.0000001192092896,8-10,5933.8357,998.2429,3762.5977,551.2874,0.7741,0.8341,0.3745,0.6951,16,red_1,938,redness
GOODS-S,464098,8.980000495910645,1.0,8-10,130.6823,23.4224,41.6421,19.2050,0.7466,0.3361,0.0668,0.1560,17,red_1,938,redness
GOODS-N,1221701,8.739999771118164,0.9999999403953552,8-10,303.2056,55.9758,137.4081,46.9677,0.7337,0.4662,0.0724,0.1683,18,red_1,938,redness
GOODS-S,203945,8.25,1.0,8-10,13.5536,2.7186,7.6917,4.0718,0.6977,0.2762,0.0686,0.1567,19,red_1,938,redness
GOODS-S,459299,8.329999923706055,1.0,8-10,95.8224,19.8517,36.8223,34.1178,0.6837,0.0331,0.1549,0.2997,20,red_1,938,redness
GOODS-N,1061176,9.0,1.0,8-10,122.4359,25.6221,46.2901,30.6565,0.6793,0.1790,0.0785,0.1781,21,red_1,938,redness
GOODS-S,423232,8.069999694824219,0.9115124940872192,8-10,4938.8967,1094.6294,3204.5319,670.9806,0.6544,0.6791,0.2090,0.4508,22,red_1,938,redness
GOODS-S,519988,8.020000457763672,0.9999974966049194,8-10,28.8182,6.5759,10.5940,10.1257,0.6417,,0.1043,0.2109,23,red_1,938,redness
GOODS-S,403037,8.9399995803833,1.0,8-10,37.2861,8.9324,11.8504,10.5114,0.6206,0.0521,0.0792,0.1820,24,red_1,938,redness
GOODS-S,66293,8.869999885559082,1.0,8-10,105.9879,25.8399,39.6771,25.0410,0.6130,0.1999,0.0785,0.1789,25,red_1,938,redness
GOODS-N,1245266,8.8100004196167,1.0,8-10,196.2233,48.7382,55.9265,nan,0.6049,,0.0752,0.1653,26,red_1,938,redness
GOODS-S,467683,9.460000038146973,1.0000001192092896,8-10,83.8828,21.9331,32.6229,24.0747,0.5826,0.1320,0.0649,0.1510,27,red_1,938,redness
GOODS-S,461166,8.770000457763672,1.0000001192092896,8-10,372.1938,98.8314,126.5224,95.2444,0.5759,0.1233,0.0751,0.1730,28,red_1,938,redness
GOODS-S,401657,8.920000076293945,1.0000001192092896,8-10,18.6619,4.9761,7.5698,5.6540,0.5741,0.1267,0.0731,0.1701,29,red_1,938,redness
GOODS-S,82499,8.020000457763672,0.9999977946281433,8-10,26.7787,7.1777,12.9175,10.8492,0.5718,0.0758,0.0647,0.1503,30,red_1,938,redness
GOODS-S,416916,8.140000343322754,0.9999456405639648,8-10,2741.4434,236.3562,1562.5065,73.4965,1.0644,1.3276,0.1770,0.3803,1,red_2,903,redness
GOODS-S,417844,8.460000038146973,0.9999998807907104,8-10,2277.4353,265.4889,1131.3408,93.8724,0.9334,1.0811,0.2258,0.4765,2,red_2,903,redness
GOODS-S,219426,8.300000190734863,0.8093301653862,8-10,6136.7470,962.1808,3586.5458,355.7372,0.8047,1.0035,0.2663,0.6085,3,red_2,903,redness
GOODS-S,171973,8.470000267028809,0.9800812602043152,8-10,2490.7830,236.0406,1168.2282,128.3241,1.0233,0.9592,0.1499,0.3186,4,red_2,903,redness
