field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-S,302101,53.112885,-27.87632,8.230000495910645,8.230000495910645,8.189151763916016,-9999.0,1.0,0.9999986290931702,0.8273603916168213,0.003979918081313372,10.364067077636719,15,6,0,0,0,0
GOODS-S,302170,53.144875,-27.875591,7.840000152587891,7.840000152587891,7.838582992553711,-9999.0,0.9526160955429077,0.8414666652679443,0.2551318407058716,0.0012132326373830438,11.403831481933594,13,5,0,0,0,1
GOODS-S,302207,53.121567,-27.875233,6.53000020980835,6.53000020980835,6.531920433044434,-9999.0,1.0,6.231352972841114e-18,4.5896840070540724e-18,4.566323909567692e-19,16.849624633789062,14,5,0,0,0,0
GOODS-S,302218,53.14069,-27.875088,8.989999771118164,8.989999771118164,8.989441871643066,-9999.0,0.9444942474365234,0.8509558439254761,0.7521728277206421,0.17635011672973633,4.285840034484863,13,5,0,0,0,0
GOODS-S,302250,53.12336,-27.874687,6.630000114440918,6.630000114440918,6.624241352081299,-9999.0,0.9999998807907104,2.1192305722783633e-12,0.0,0.0,159.06320190429688,13,5,0,0,0,0
GOODS-S,302282,53.109077,-27.874374,7.329999923706055,7.329999923706055,7.325255393981934,-9999.0,0.95875483751297,0.8629426956176758,0.08372952044010162,0.0018274771282449365,6.033944129943848,16,7,0,0,0,1
GOODS-S,302310,53.126057,-27.874056,8.039999961853027,8.039999961853027,8.038544654846191,-9999.0,0.943856954574585,0.9030327200889587,0.8294547200202942,0.5232194662094116,9.465846061706543,13,5,0,0,0,1
GOODS-S,302333,53.03467,-27.873863,9.170000076293945,9.170000076293945,9.172070503234863,-9999.0,0.8131117224693298,0.7944654822349548,0.7264050245285034,0.5233322381973267,19.943300247192383,20,9,0,0,0,1
GOODS-S,302356,53.141956,-27.87372,11.65999984741211,11.65999984741211,11.653510093688965,-9999.0,0.9285964965820312,0.9284726977348328,0.928072452545166,0.9119518399238586,8.37181282043457,13,5,0,0,0,1
GOODS-S,302377,53.158585,-27.87352,10.609999656677246,10.609999656677246,10.606973648071289,-9999.0,0.9598525166511536,0.9565619230270386,0.9553353190422058,0.9255447387695312,9.697311401367188,13,5,0,0,0,1
GOODS-S,302399,53.121147,-27.873295,6.880000114440918,6.880000114440918,6.876845836639404,-9999.0,0.9718422889709473,0.49653634428977966,0.10349321365356445,0.003382012713700533,4.441874027252197,14,5,0,0,0,0
GOODS-S,302459,53.11083,-27.87254,11.239999771118164,11.239999771118164,11.237252235412598,-9999.0,0.8280234932899475,0.8280197978019714,0.8279988765716553,0.8265602588653564,10.709583282470703,14,5,0,0,0,1
GOODS-S,302470,53.048073,-27.872366,8.140000343322754,8.140000343322754,8.138084411621094,-9999.0,0.970725417137146,0.9449953436851501,0.6356996893882751,0.10321308672428131,10.63580322265625,19,9,0,0,0,1
GOODS-S,302530,53.146133,-27.871538,7.590000152587891,7.590000152587891,7.593176364898682,-9999.0,0.8079825639724731,0.7831181287765503,0.4090074598789215,0.04465799778699875,7.799673557281494,15,6,0,0,0,1
